elements,PCE,Decoration1,Decoration2,Decoration3,NIR wave laser(nm),NIR intensity(W/cm2),NIR time(min),electricneg,num_atoms,mass
P2,43.6,PEG,Ce6,0,660,0.65,10,2.19,2.0,61.947524
P2,38.8,PEG,Dox,0,808,2.0,15,2.19,2.0,61.947524
P2,36.0,PEI,siRNA,0,808,1.0,10,2.19,2.0,61.947524
P2,32.74,HSA,Paclitaxel,0,808,1.0,10,2.19,2.0,61.947524
P2,69.4,C dots,0,0,1064,1.0,6,2.19,2.0,61.947524
P2,36.1,Au,0,0,808,1.0,20,2.19,2.0,61.947524
P2,57.79,rGO,PEG,0,808,1.5,5,2.19,2.0,61.947524
P2,32.6,PEG,0,0,808,1.0,10,2.19,2.0,61.947524
P2,29.8,PEG,FA,0,808,1.0,10,2.19,2.0,61.947524
C3N4,59.64,CuS,PEG,0,808,2.5,20,2.8299999999999996,7.0,92.0589
Ag,79.48,Au,0,0,808,1.0,10,1.93,1.0,107.8682
Au,45.28,TiO2,0,0,1064,1.0,5,2.54,1.0,196.966569
Au,85.5,pAS,RGD,Dox,808,0.5,5,2.54,1.0,196.966569
Au,53.6,Por,PVP,Fe3(CO)12,808,1.0,5,2.54,1.0,196.966569
Au,65.35,TiO2,0,0,1064,1.0,5,2.54,1.0,196.966569
AuPd,41.9,PEG,ROS,0,808,0.5,5,2.37,2.0,303.386569
B,42.5,PEG,Dox,Cyanine5.5,808,2.0,5,2.04,1.0,10.811
Bi2WO6,36.5,Dox,PEG,0,808,0.5,5,3.0044444444444443,9.0,697.7972
Cu,34.1,PEG,0,0,808,1.5,6,1.9,1.0,63.546
CuNW,12.5,PEG,0,0,808,1.5,6,2.433333333333333,3.0,261.3927
Fe,67.0,PLGA,Paclitaxel,SiO2,808,0.95,20,1.83,1.0,55.845
Fe3O4,41.76,IR-1061,PLGA,99mTc,808,0.75,10,2.75,7.0,231.5326
IrWO3,27.0,PEG,0,0,808,1.0,5,2.976,5.0,424.0552
Mg3Al,53.1,LDH,Cu,0,808,1.0,5,1.385,4.0,99.89653859999999
Mn,46,PEG,0,0,1064,1.2,10,1.55,1.0,54.938045
MnO2,21.4,SP,0,0,808,2.0,5,2.81,3.0,86.936845
MnO2,26.1,Ag,CS,0,808,5.0,20,2.81,3.0,86.936845
Pd,52.0,GSH(reduced glutathione),0,0,808,0.8,2,2.2,1.0,106.42
Pd,39.2,LTS,0,0,808,1.5,2,2.2,1.0,106.42
Sb2O3,44.0,PEG,Dox,0,1210,1.0,8,2.884,5.0,291.5182
Sn,37.9,PEG,0,0,808,1.0,10,1.96,1.0,118.71
TeO2,43.6,(NH4)xWO3,DSPE-PEG,0,1064,1.0,10,2.9933333333333336,3.0,159.59879999999998
Ti,73.4,PEG,0,0,808,1.0,5,1.54,1.0,47.867
Fe2O3,59.85,UNA,PEG,Dox,1064,1.1,10,2.7960000000000003,5.0,159.6882
Nb2C,36.8,PVP,0,0,808,1.5,5,1.9166666666666667,3.0,197.82346
Ta4C3,44.7,SP,0,0,808,1.5,5,1.9499999999999997,7.0,759.82362
Ta4C3,32.5,Fe3O4,SP,0,808,1.5,10,1.9499999999999997,7.0,759.82362
Ti3C2,58.3,Dox,HA,0,808,0.8,10,1.9439999999999997,5.0,167.6224
Ti3C2,48.6,IONPs,SP,0,808,1.5,8,1.9439999999999997,5.0,167.6224
Ti3C2,22.9,MnOx,SP,0,808,1.25,5,1.9439999999999997,5.0,167.6224
Ti3C2,44.9,GdW10,PEG,BSA,808,0.0,0,1.9439999999999997,5.0,167.6224
TiN,48.0,PEG,0,0,808,2.0,10,2.29,2.0,61.8737
Bi2Te3,45.3,BSA,Methylene blue,0,808,2.0,10,2.068,5.0,800.7608
CuS,51.75,PDA,Pd,0,1060,1.0,10,2.24,2.0,95.61099999999999
CuSe,31.9,NC,Dox,DNA,808,3.0,10,2.2249999999999996,2.0,142.506
FePS3,43.3,PVP,0,0,1064,1.0,10,2.352,5.0,183.01376199999999
FeS,56.51,PEG,CAI,0,1064,1.0,6,2.205,2.0,87.91
MoS2,43.93,Fe3O4,PEG,0,808,1.0,10,2.44,3.0,160.07
MoS2,78.2,C dots,PEG,0,808,2.0,5,2.44,3.0,160.07
MoS2,37.7,PEG,0,0,808,2.0,5,2.44,3.0,160.07
MoS2,24.37,DOX,CS,0,808,1.0,10,2.44,3.0,160.07
MoSe2,56.1,PVP,PNIPAM hydrogel,Dox,808,2.5,15,2.42,3.0,253.85999999999999
MoSe2,48.46,MoSe2 nanodots,PEG,0,808,1.0,10,2.42,3.0,253.85999999999999
NbSe2,24.1,PEG,YD,0,808,2.0,9,2.233333333333333,3.0,250.82637999999997
ReS2,79.2,PVP,0,0,808,5.2,10,2.3533333333333335,3.0,250.337
Sb2Se3,40.56,PVP,NMP,0,808,2.0,3,2.35,5.0,480.4
SnS,39.3,PEG,FA,Dox,808,1.0,10,2.27,2.0,150.77499999999998
SnS,36.1,PEG,0,0,808,0.34,5,2.27,2.0,150.77499999999998
Ta2NiS5,35.0,PEG,0,0,808,1.0,8,2.22625,8.0,580.91416
TaS2,39.0,PEG,Dox,0,808,2.5,10,2.22,3.0,245.07788
VS2,31.5,PEG,0,0,808,0.6,5,2.263333333333333,3.0,115.07149999999999
WS2,44.565,C dots,0,0,1064,0.6,5,2.5066666666666664,3.0,247.97